moft	most
tendernefs	tenderness
allufions	allusions
fteele	steele
paffe	passe
fhewes	shewes
fofter	foster
fundry	sundry
fonne	sonne
fcarce	scarce
fets	sets
fung	sung
fhowe	showe
ftraunge	straunge
rehearfe	rehearse
paffing	passing
horfe	horse
fhalt	shalt
coft	cost
difcourfes	discourses
fpace	space
fuche	suche
furely	surely
leffe	lesse
fhut	shut
fixth	sixth
propofition	proposition
amongft	amongst
fmal	smal
worft	worst
defires	desires
percafe	percase
conftant	constant
feemely	seemely
fhew	shew
ftretch	stretch
mifchiefe	mischiefe
fawe	sawe
Muft	Must
afide	aside
ftreight	streight
fhine	shine
fetting	setting
ftroke	stroke
fent	sent
kift	kist
feemes	seemes
fhore	shore
conftantly	constantly
Suppofing	Supposing
fcattered	scattered
Jerufalem	Jerusalem
lafting	lasting
fondnefs	fondness
correfpondence	correspondence
obfervation	observation
infpire	inspire
fuggeft	suggest
profpect	prospect
fources	sources
purpofes	purposes
darknefs	darkness
indiftinct	indistinct
raifing	raising
fhook	shook
fociety	society
diftrefs	distress
utmoft	utmost
confiderably	considerably
celeftial	celestial
reprefented	represented
fulleft	fullest
fuitable	suitable
fhades	shades
fpreads	spreads
anfwer	answer
increafe	increase
correfponding	corresponding
fprightly	sprightly
earneftly	earnestly
correfpond	correspond
prepofitions	prepositions
fon	son
mafculine	masculine
compafs	compass
diftinguifhing	distinguishing
perfpicuous	perspicuous
fupports	supports
poffible	possible
juftify	justify
difagreeable	disagreeable
fpirited	spirited
fuperfluous	superfluous
epiftolary	epistolary
defcend	descend
ftrefs	stress
happinefs	happiness
fmooth	smooth
largeft	largest
unneceffary	unnecessary
prefents	presents
ufing	using
perfonification	personification
boldnefs	boldness
embellifhing	embellishing
illuftrious	illustrious
adverfary	adversary
compofing	composing
illuftration	illustration
infipid	insipid
coolnefs	coolness
ftiff	stiff
profeffion	profession
embellifhment	embellishment
cautioufly	cautiously
difplaying	displaying
Ariftotle	Aristotle
paftorals	pastorals
diverfified	diversified
